Blueberry Pancakes,1
Cage Free Scrambled Eggs,1
Hard-boiled Cage Free Eggs,1
Natural BridgesTofu Scramble,0
Oatmeal Gluten-Free,0
Sausage Patties,1
Steamed Rice,0
Tator Tots,0
N.E.Clam Chowder,0
Baked Salmon with Avocado Chimichurri,1
"Black Rice, Beet and Kale Salad",1
Oven Roasted Allergen Free Chicken Thigh,0
Steamed Rice,0
Steamed Seasonal Vegetables,1
Armenian Salad,0
Beef and Lamb Gyro,0
Falafels,0
Tabouleh Salad,0
Tahini Sauce,0
Tzatziki Sauce,1
Chef's Special,1
Oven Roasted Allergen Free Chicken Thigh,0
Steamed Rice,0
Steamed Seasonal Vegetables,0
Cajun Bayou Bar,0
Cajun Coleslaw,1
Cajun Rice,0
Chicken Tenders,0
Corn and Okra Maque Choux,0
