index,food,pref
0,Atomic Cheese Sauce,0
1,BAR Boardwalk Burgers,1
2,BAR Hot Dog,1
3,Bacon,1
4,Black Bean Corn Salsa,0
5,Bread Bun,0
6,Burger Bar #1 Condiments,1
7,Burger Beef,1
8,Burger Turkey,0
9,Buttermilk Pancakes,1
10,Cage Free Scrambled Eggs,1
11,California Pasta,1
12,Cheese Sauce,0
13,Chili con Carne,0
14,Condiments,0
15,Creamy Broccoli Cheddar Soup,0
16,Cuban Banana BBQ'd Chicken,0
17,Cuban Yellow Rice,0
18,Eggs Benedict,0
19,French Fries,1
20,Hard-boiled Cage Free Eggs,0
21,Hash Brown Patty,1
22,Hawaiian Coleslaw,0
23,Hot Dog All Beef,1
24,Hot Dog Vegan,0
25,Natural BridgesTofu Scramble,0
26,Oatmeal Gluten-Free,0
27,Onion Rings,1
28,Oven Roasted Allergen Free Chicken Thigh,0
29,Pineapple Chicken Curry,0
30,Pineapple Tofu Curry,0
31,"Pizza with Potato, Sausage and Cheese",1
32,Roasted Vegetables,0
33,Sausage Links,1
34,Sauteed Mushrooms,0
35,Sesame Udon Noodles,0
36,Steamed Rice,1
37,Vegan Malibu Burger,0
