index,food,pref
0,BAR Boardwalk Burgers,0
1,BAR Hot Dog,1
2,BBQ Shredded Pork,1
3,Bacon,1
4,Blueberry Coffee Cake Low Fat,0
5,Bread Pudding,0
6,Burger Beef,1
7,Burger Turkey,0
8,Cage Free Scrambled Eggs,1
9,Cajun Honey Glazed Chicken Breast,0
10,California BLT Wrap,0
11,Cheese Pizza,0
12,Cheese Sauce,0
13,Cherry Turnovers,0
14,Chicken Apple Sausage,0
15,Chicken Tenders,1
16,Chicken Tortilla Soup,0
17,Chili con Carne,0
18,Chipotle Gardein Strips,0
19,Corn and Okra Maque Choux,0
20,Creamy Wild Mushroom Bisque,0
21,Curly Fries,1
22,French Fried Mac and Cheese Bites,0
23,French Waffles,0
24,Garlic Mashed Potatoes,0
25,Greek Pizza,0
26,Hot Dog All Beef,1
27,Jalapeno,0
28,Lemon almond Muffin,0
29,Mac & Cheese,0
30,Mac & Cheese Bar Condiments,0
31,Mac and Cheese Bar,0
32,Natural BridgesTofu Scramble,0
33,Oatbran Cranberry Muffin,0
34,Oatmeal Gluten-Free,0
35,Old Fashioned Frosted Donut,0
36,Onion Rings,1
37,Onions,0
38,Oven Roasted Chicken Thigh,0
39,Quiche Alsace with Ham,0
40,Red Curry Tofu,0
41,Roast Beef with Sherried Mushroom Sauce,0
42,Roasted Seasonal Vegetables,0
43,Sauerkraut,0
44,Sauteed Mushrooms,0
45,Steak Cut Fries,1
46,Steamed Rice,1
47,Sweet Relish,0
48,Tator Tots,1
49,Tchoupitoulas Potatoes,0
50,Thai Red Curry Beef,0
51,UCSC Bakery French Rolls,0
52,Vegan Macaroni & Cheese,0
53,Vegan Malibu Burger,0
