index,food,pref
0,Atomic Cheese Sauce,0
1,BAR Boardwalk Burgers,0
2,Bacon,1
3,Bar Pasta,1
4,Bread Bun,0
5,Burger Bar #1 Condiments,0
6,Burger Beef,1
7,Cage Free Scrambled Eggs,1
8,Cheese Pizza,1
9,Cheese Ravioli,0
10,Cheesy Garlic Bread Sticks,1
11,Chili con Carne,0
12,Cilantro Flatbread with Red Onions and Mushrooms,0
13,Condiments,0
14,Creamy Alfredo Sauce,0
15,Fried Chicken,1
16,Ham Steaks,0
17,Hard-boiled Cage Free Eggs,0
18,Marinara Sauce,1
19,Natural BridgesTofu Scramble,1
20,Oatmeal Gluten-Free,0
21,Onion Rings,1
22,Oven Roasted Allergen Free Chicken Thigh,1
23,Penne,1
24,Pepperoni Pizza,0
25,Potatoes O'Brien,0
26,Red Skin Mashed Potatoes,1
27,Sauteed Mushrooms,0
28,Steamed Rice,1
29,Steamed Seasonal Vegetables,0
30,Teriyaki Chicken Shoyu,1
31,Texas French Toast,1
32,Tomato Bisque Soup,1
33,Vegan Malibu Burger,0
34,Veggie Fried Rice,0
