index,food,pref
0,BAR Wings,0
1,BBQ Wings,0
2,Baked Salmon with Avocado Chimichurri,0
3,Banana and Coconut Pancakes,1
4,Bar Indian,0
5,Basmati Rice Pullao,0
6,Belgian Waffles,0
7,Bell Peppers,0
8,"Black Rice, Beet and Kale Salad",0
9,Cage Free Eggs,0
10,Cage Free Omelette Bar,0
11,Cage Free Scrambled Eggs,1
12,California Pasta,1
13,Cheddar Cheese,0
14,Cheese Pizza,1
15,Chocolate Muffin,0
16,Coconut Syrup,0
17,Condiments,0
18,Dal Saag,0
19,Feta Cheese,0
20,Fresh Organic Spinach,0
21,Fresh Tomato,0
22,Hard-boiled Cage Free Eggs,0
23,Hawaiian Coleslaw,0
24,Heath Bar Almond Pie,0
25,Hot 'N Spicy Wings,0
26,Jalapeno,0
27,Masala Vegetables,0
28,Mint Chip Brownie,0
29,N.E.Clam Chowder,0
30,Natural BridgesTofu Scramble,0
31,Nutella Hazelnut Cheese Ring,0
32,Oatbran Apple Muffin,0
33,Oatmeal Gluten-Free,0
34,Onions,0
35,Original Naan,0
36,Oven Roasted Chicken Thigh,0
37,Oven Roasted Turkey,1
38,Paul's Vegan Macadamia Nut Cookies,0
39,Roasted Seasonal Vegetables,0
40,Sausage Patties,1
41,Sesame Chili Ginger Beef,1
42,Sesame Chow Mein Noodles,1
43,Shredded Hash Browns,0
44,Sliced Olived,0
45,Smoked Ham,0
46,Steamed Rice,1
47,Szechuan Sweet Chili Tofu,1
48,Tandoori Chicken,0
49,Teriyaki Glaze Wings,0
50,Torta Ahogada,0
51,Tuscan Vegetable Soup,0
52,UCSC Bakery French Rolls,0
53,Vegan Baked Beans,0
54,Vegan Malibu Burger,0
55,Vegan Peanut Granola,0
56,Vegan Tenders,0
