index,food,pref
0,Avocado Bacon Cheddar Burger,0
1,Bar Pasta,1
2,Blueberry Muffin,0
3,Bolognese Sauce,0
4,Breakfast Enchiladas,0
5,Buffalo Chicken Pizza,1
6,Cage Free Scrambled Eggs,1
7,Cheese Pizza,1
8,Cheese Ravioli,0
9,Cheese and Garlic Breadsticks,0
10,Chicken Gravy,0
11,Chicken Noodle Soup,1
12,Chicken Teriyaki Stir Fry,1
13,Chocolate Cream Pie,0
14,Condiments,0
15,Creamy Broccoli Cheddar Soup,0
16,Crispy Bacon,1
17,Donut Raised,0
18,Eggs Benedict,0
19,Greek Penne with Spinach & Feta,0
20,Hawaiian Bar,0
21,Hawaiian Macaroni Salad,0
22,Kalua Pork,0
23,Knockout Burger,0
24,Marinara Sauce,0
25,Natural BridgesTofu Scramble,0
26,Nutella Cheese Danish,0
27,Oatmeal Gluten-Free,0
28,Orange Cream Cheese Spice Cake,0
29,Oven Roasted Chicken Thigh,0
30,Papas Fritas,0
31,Paul's Vegan Macadamia Nut Cookies,0
32,Penne,1
33,Pesto Supreme Sauce,0
34,Potatoes O'Brien,0
35,Red Skin Mashed Potatoes,0
36,Roasted Vegetables,0
37,Roasted Yams,0
38,Sauteed Seasonal Vegetable,0
39,Spam Fried Rice,1
40,Spice Crusted Pork Loin,0
41,Steamed Rice,1
42,Sticky Rice,1
43,Stir Fry Vegetables,0
44,Szechuan Sweet Chili Tofu,0
45,Tator Tots,1
46,"Teriyaki ""Chicken"" Stir Fry",1
47,Teriyaki Chicken Shoyu,1
48,Teriyaki Tofu,1
49,Texas French Toast,0
50,Three-Berry Muffin,0
51,UCSC Bakery French Rolls,0
52,Vegan Chicken and Hummus Wrap,0
53,Vegetable Lo Mein,0
