index,food,pref
0,Armanino Alfredo Sauce,0
1,Avocado Toast with Spicy Fried Egg,0
2,Bakery Coconut Walnut Magic Bar,0
3,Bar Pasta,1
4,Belgian Waffles,0
5,Bell Peppers,0
6,Bob's Pancakes,1
7,Cage Free Eggs,0
8,Cage Free Omelette Bar,0
9,Cage Free Scrambled Eggs,1
10,Cheddar Cheese,0
11,Cheese Pizza,1
12,Cheese Ravioli,0
13,Cheesy Garlic Bread Sticks,0
14,Condiments,0
15,Feta Cheese,0
16,Fresh Organic Spinach,0
17,Fresh Tomato,0
18,Hard-boiled Cage Free Eggs,0
19,Hash Brown Patty,1
20,Hawaiian Bar,0
21,Hawaiian Macaroni Salad,0
22,Home Style Ground Beef Chili,1
23,Hot Dog Chili Cheese,0
24,Jalapeno,0
25,Lemon Bread,0
26,Lemon Raspberry Muffin,0
27,Maple Pecan Muffin,0
28,Marinara Sauce,1
29,Mexican Chorizo Sausage,0
30,Oatmeal Gluten-Free,0
31,Onions,0
32,Orange Glazed Pork,1
33,Orange Glazed Vegan Chicken,0
34,Oven Roasted Chicken Thigh,0
35,Oven Roasted Turkey,0
36,Penne,1
37,Pizza with Gochujang BBQ Chicken,1
38,Pork Hawaiian Braised,0
39,Roasted Vegetable Quesadilla,0
40,Roasted Yams,0
41,Sauteed Seasonal Vegetable,0
42,Sliced Olived,0
43,Smoked Ham,0
44,Soyrizo Tofu Scramble,0
45,Spam Fried Rice,1
46,Spicy Beef Stew From the Bayou,1
47,Steak Cut Fries,1
48,Steamed Rice,1
49,Teriyaki Chicken Shoyu,1
50,Teriyaki Tofu,1
51,Tuscan Vegetable Soup,0
52,UCSC Bakery French Rolls,0
53,Vegan Peanut Granola,0
54,Yogurt Cheesecake,1
