index,food,pref
0,Argentinian Roasted Chicken,0
1,BAR Hot Dog,0
2,Baked Potato,0
3,Baked Potato Bar,0
4,Baked Sweet Potato,0
5,Banana Walnut Loaf,0
6,Banh Mi Vegan Hot Dog,0
7,Beef and Lamb Gyro,0
8,Belgian Waffles,0
9,Bell Peppers,0
10,Black Beans,0
11,Blackened Catfish Po' Boy Sandwich,0
12,Bob's Pancakes,0
13,Braised Kale with Crispy Shallots,0
14,Butter Balls,0
15,Cage Free Eggs,0
16,Cage Free Omelette Bar,0
17,Cage Free Scrambled Eggs,1
18,Cheddar Cheese,0
19,Cheese Pizza,0
20,Cheese Sauce,0
21,Cheese and Garlic Breadsticks,0
22,Chicken Apple Sausage,0
23,Chicken Arcadia,0
24,Chili con Carne,0
25,Chocolate Blackout Cupcake,0
26,Cilantro Flatbread with Red Onions and Mushrooms,0
27,Condiments,0
28,Creamy Broccoli Cheddar Soup,0
29,Crumbled Bacon,1
30,Dirty Rice,0
31,Eggbeaters Scramble,0
32,Enchiladas de Crema,0
33,Feta Cheese,0
34,Fresh Organic Spinach,0
35,Fresh Tomato,0
36,Fried Chicken,1
37,Grilled Chimichurri Tofu,0
38,Hard-boiled Cage Free Eggs,0
39,Hot Dog All Beef,1
40,Isla Managua Beef Sandwich,0
41,Jalapeno,0
42,Jalapeno Cheese Scone,0
43,Lasagna Bolognese,0
44,Lemon Blueberry Muffin,0
45,Lemon Pepper Cod,0
46,Mexican Rice,0
47,Middle Eastern Shakshuka Eggs,0
48,N.E.Clam Chowder,0
49,New England Clam Chowder,0
50,Oatmeal Gluten-Free,0
51,Onions,0
52,Oven Roasted Chicken Thigh,0
53,Oven Roasted Turkey,0
54,Peruvian Bar,0
55,Quinoa with Lemon and Thyme,0
56,Regular Cut Fries,1
57,Roasted Seasonal Vegetables,0
58,Roasted Sweet Potatoes,0
59,Sauerkraut,0
60,Shredded Hash Browns,0
61,Sliced Olived,0
62,Smoked Ham,0
63,Soyrizo Tofu Scramble,0
64,Soyrizo and Potatoes,0
65,Steak Cut Fries,1
66,Steamed Rice,1
67,Sweet Potato Fries,0
68,Sweet Relish,0
69,Thai Tofu Scramble,0
70,UCSC Bakery French Rolls,0
71,Vegan Blackberry Pie,0
72,Vegan Malibu Burger,0
73,Vegan Peanut Granola,0
74,Whaler Fish Sandwich,0
