index,food,pref
0,Apple Muffin Crunch,0
1,Apple Upside-Down Coconut Cake,0
2,BBQ Shredded Pork,1
3,Belgian Waffles,0
4,Bell Peppers,0
5,Black Beans,0
6,Brownie M&M,0
7,Cage Free Eggs,0
8,Cage Free Omelette Bar,0
9,Cage Free Scrambled Eggs,1
10,Caribbean Yellow Rice,0
11,Cheddar Cheese,0
12,Cheese Pizza,1
13,Chicken Sofrito,0
14,Chicken Tenders,1
15,Chipotle BBQ Sauce,1
16,Coconut Green Curry Shrimp Soup,0
17,Condiments,0
18,Feta Cheese,0
19,Fresh Organic Spinach,0
20,Fresh Tomato,1
21,Hard-boiled Cage Free Eggs,0
22,Jalapeno,0
23,Jalapeno Cheese Scone,0
24,Mashed Potato Bowl Bar,0
25,Mashed Yukon Golds,0
26,Muffin Blueberry Oat Bran,0
27,Oatmeal Gluten-Free,0
28,Onions,0
29,Oven Roasted Chicken Thigh,0
30,Oven Roasted Turkey,1
31,Papas Fritas,0
32,"Pizza with Potato, Sausage and Cheese",1
33,Roasted Corn,0
34,Sausage Patties,1
35,Sliced Olived,0
36,Smoked Ham,1
37,Spicy Double Sausage Pizza,1
38,Steamed Rice,1
39,Steamed Seasonal Vegetables,0
40,Sweet & Sour Mushroom Soup,0
41,Texas French Toast,0
42,Thai Tofu Scramble,0
43,Vegan Mushroom Gravy,0
44,Vegan Peanut Granola,0
