index,food,pref
0,Almond Bear Claws,0
1,Apple Walnut Muffin,0
2,Armenian Salad,0
3,Artichoke & Roasted Garlic Pizza,0
4,Banh Mi Hot Dog,0
5,Bar Indian,0
6,Basmati Rice Pullao,0
7,Belgian Waffles,1
8,Bell Peppers,0
9,Braised Kale with Crispy Shallots,0
10,Burger Turkey,0
11,Buttermilk Pancakes,1
12,Cage Free Eggs,0
13,Cage Free Omelette Bar,0
14,Cage Free Scrambled Eggs,1
15,Cheddar Cheese,0
16,Cheese Pizza,1
17,Chicken Pozole,0
18,Chickpea Curry with Tomato and Kale,0
19,Chickpea Harira,0
20,Condiments,0
21,Double Chocolate Dobash Cake,0
22,Falafel  Wrap,0
23,Feta Cheese,0
24,French Fries,1
25,Fresh Organic Spinach,0
26,Fresh Tomato,1
27,Garlic Fries,1
28,Garlic Mashed Potatoes,0
29,Hard-boiled Cage Free Eggs,0
30,Harissa Roasted Chicken,0
31,Jalapeno,0
32,Middle Eastern Shakshuka Eggs,0
33,Mocha Chip Muffin,0
34,Natural BridgesTofu Scramble,0
35,North African Bar,0
36,Oatmeal Gluten-Free,0
37,Old Fashioned Frosted Donut,0
38,Onions,0
39,Original Naan,0
40,Oven Roasted Chicken Thigh,0
41,Oven Roasted Turkey,0
42,Potato Samosas,0
43,Rice Krispy Treats,0
44,Roasted Cauliflower and Almond Salad,0
45,Sausage Links,0
46,Sliced Olived,0
47,Smoked Ham,0
48,Spiced Almond Couscous,0
49,Spicy Sonoran Meatloaf,0
50,Steamed Rice,1
51,Steamed Seasonal Vegetables,0
