index,food,pref
0,BAR Wings,0
1,BBQ Wings,0
2,Baked Sweet Potato,0
3,Banana Maple Walnut Muffin,0
4,Belgian Waffles,1
5,Bell Peppers,0
6,Blueberry Cheese Ring,1
7,Bob's Pancakes,1
8,Bourbon Snicker Peanut Bar,0
9,Breakfast Enchiladas,0
10,Cage Free Eggs,0
11,Cage Free Omelette Bar,0
12,Cage Free Scrambled Eggs,1
13,Cheddar Cheese,0
14,Cheese Pizza,1
15,Cheese Sauce,1
16,Chicken Tortilla Soup,1
17,Chipotle Lime Pork Loin,0
18,Chocolate Cream Pie,0
19,Combo Meat Pizza,0
20,Condiments,0
21,Crispy Bacon,1
22,Curly Fries,1
23,Feta Cheese,0
24,Fire Roasted Corn Soup,0
25,French Fried Mac and Cheese Bites,0
26,Fresh Organic Spinach,0
27,Fresh Tomato,0
28,Hard-boiled Cage Free Eggs,0
29,Hawaiian Coleslaw,0
30,Hot 'N Spicy Wings,0
31,Jalapeno,0
32,Mushroom & Swiss Burger with Onions,0
33,Nachos Bar,0
34,Oatmeal Gluten-Free,0
35,Onions,0
36,Oven Roasted Chicken Thigh,0
37,Oven Roasted Turkey,0
38,Papas Bravas,0
39,Papas Fritas,0
40,Portobello Cheese Quesadilla,0
41,Ranch Chicken Sandwich with Bacon,0
42,Roasted Corn,0
43,Roasted Kale and Butternut Squash,0
44,Roasted Seasonal Vegetables,0
45,Roma Pesto Pizza,0
46,Sliced Olived,0
47,Smoked Ham,0
48,Soyrizo Tofu Scramble,0
49,Steamed Rice,1
50,Strawberry Crunch Muffin,1
51,Tamarind BBQ Tempeh,0
52,Taqueria Chicken,0
53,Taqueria Ground Beef,0
54,Teriyaki Glaze Wings,0
55,Tortilla Chips,0
56,UCSC Bakery French Rolls,1
57,Vegan Baked Beans,0
58,Vegan Oatmeal Cookie,0
59,Vegan Peanut Granola,0
60,Vegan Tenders,0
61,Vegetable Lo Mein,0
