index,food,pref
0,Asian Pork Spareribs,1
1,Authentic Spanish Rice,0
2,Baja Fish Tacos,1
3,Baja Taco Bar,0
4,Bar Indian,0
5,Bengan Aloo,0
6,Blueberry Pancakes,1
7,Cage Free Scrambled Eggs,1
8,Charro Beans,0
9,Cheese Pizza,1
10,Chicken Tortilla Soup,0
11,Chipotle Seitan Fajitas,0
12,Condiments,0
13,Corn Tortillas,0
14,Crispy Bacon,1
15,Hard-boiled Cage Free Eggs,0
16,Lime Cilantro Basmati Rice,0
17,Madras Chicken,0
18,Masala Vegetables,0
19,Memphis Meatloaf,0
20,Natural BridgesTofu Scramble,1
21,Oatmeal Gluten-Free,0
22,Original Naan,0
23,Oven Roasted Allergen Free Chicken Thigh,1
24,Pepperoni Pizza,0
25,Pork Al Pastor,0
26,Red Skin Mashed Potatoes,1
27,Roasted Vegetables,0
28,Roma Pesto Pizza,0
29,Steamed Rice,1
30,Steamed Seasonal Vegetables,0
31,Tator Tots,1
32,Vegetable Lo Mein,0
