index,food,pref
0,Armenian Salad,0
1,BAR Middle Eastern,0
2,BBQ Shredded Pork,1
3,Banana and Coconut Pancakes,1
4,Beef and Lamb Gyro,0
5,Cage Free Scrambled Eggs,1
6,Cheese Pizza,1
7,Cheesy Garlic Bread Sticks,1
8,Chef's Special,0
9,Chicken Mango Sausage,1
10,Chicken Tenders,1
11,Chicken Tortilla Soup,0
12,Cilantro Flatbread with Red Onions and Mushrooms,0
13,Coconut Syrup,0
14,Condiments,0
15,Falafels,0
16,Hard-boiled Cage Free Eggs,0
17,Lime Cilantro Basmati Rice,0
18,Mac & Cheese,1
19,Mac and Cheese Bar,1
20,Natural BridgesTofu Scramble,0
21,Oatmeal Gluten-Free,0
22,Oven Roasted Allergen Free Chicken Thigh,0
23,Roasted Vegetables,0
24,Roasted Yukon Gold Potatoes,1
25,Steamed Rice,1
26,Steamed Seasonal Vegetables,0
27,Stuffed Shells in classic Marinara Sauce,0
28,Tahini Sauce,0
29,Tzatziki Sauce,0
30,Vegan Macaroni & Cheese,0
