index,food,pref
0,Armenian Salad,0
1,BAR Middle Eastern,0
2,BBQ Ginger Soy Chicken,0
3,BBQ Tofu Chili Garlic,0
4,Bar Rice Bowl,0
5,Beef and Lamb Gyro,0
6,Belgian Waffles,0
7,Bell Peppers,0
8,Big Island Chicken Stir Fry,0
9,Big Island Tofu Stir Fry,0
10,Brownie M&M,0
11,Cage Free Eggs,0
12,Cage Free Omelette Bar,0
13,Cage Free Scrambled Eggs,1
14,Caramelized Chipotle Chicken,0
15,Carrot Parsnip Soup,0
16,Charro Beans,0
17,Cheddar Cheese,0
18,Cheese Pizza,1
19,Chicken Adobo,0
20,Chocolate Loaf Bread,0
21,Chorizo and Jack Cheese Pizza,0
22,Condiments,0
23,Curly Fries,1
24,Falafels,0
25,Feta Cheese,0
26,Filipino Style Pancit,0
27,Fresh Organic Spinach,0
28,Fresh Tomato,0
29,Granola Nut Cookies,0
30,"Green Chili, Zucchini & Cheese Tamales",0
31,Grilled Reuben Sandwich,0
32,Halal Chicken Patty Sandwich,0
33,Hard-boiled Cage Free Eggs,0
34,Hash Brown Patty,1
35,Isla Managua Beef Sandwich,0
36,Jalapeno,0
37,Jasmine Rice,1
38,Krinkle Cut Fries,1
39,Kung Pao Sauce,1
40,Lemon Pepper Sustainable Pacific Cod,0
41,Malfouf,0
42,Mexican Rice,0
43,Morning Glory Blueberry Granola Nut Muffin,0
44,Natural BridgesTofu Scramble,0
45,Oatmeal Gluten-Free,0
46,Onions,0
47,Oven Roasted Chicken Thigh,0
48,Oven Roasted Herbed Potatoes,0
49,Oven Roasted Turkey,1
50,Peach Honey Bran Muffin,0
51,Pita Bread,0
52,Plantain Pancakes,0
53,Pork Pozole,0
54,Pumpkin Pie,0
55,Regular Cut Fries,1
56,Rice Pilaf,0
57,Roasted Vegetable Quesadilla,0
58,Roasted Vegetables with Pesto Sandwich,0
59,Sausage Patties,1
60,Sliced Olived,0
61,Smoked Ham,1
62,Steamed Brown Rice,1
63,Steamed Rice,1
64,Stir Fry Vegetables,0
65,Tabouleh Salad,0
66,Tomato and Pesto Baked Pork Chops,0
67,Tzatziki Sauce,0
68,UCSC Bakery French Rolls,0
69,Vegan Peanut Granola,0
