index,food,pref
0,Apricot Crunch Muffin,0
1,Atomic Cheese Sauce,0
2,BAR Boardwalk Burgers,0
3,BAR Wings,0
4,BBQ Pork Ribs,1
5,BBQ Wings,0
6,Bacon,1
7,Baked Sweet Potato,0
8,Belgian Waffles,0
9,Bell Peppers,0
10,Black Beans,0
11,Bob's Pancakes,0
12,Bread Bun,0
13,Burger Bar #1 Condiments,0
14,Burger Beef,1
15,Burger Turkey,0
16,Cage Free Eggs,0
17,Cage Free Omelette Bar,0
18,Cage Free Scrambled Eggs,1
19,Cheddar Cheese,0
20,Cheese Enchilada Pizza,0
21,Cheese Pizza,0
22,Chicken Tenders,1
23,Chicken and Dumpling Soup,1
24,Chili con Carne,0
25,Cinnamon Roasted Butternut Squash,0
26,Condiments,0
27,Crispy Beef and Bean Tostada,0
28,Crispy Tostada,0
29,Cuban Chicken and Chorizo,0
30,Eggplant Curry,0
31,Feta Cheese,0
32,Fire Roasted Corn Soup,0
33,French Fries,1
34,Fresh Organic Spinach,0
35,Fresh Tomato,0
36,Greek Chicken Saute,0
37,Greek Vegan Saute,0
38,Halal Chicken Patty Sandwich,0
39,Ham Steaks,0
40,Hard-boiled Cage Free Eggs,0
41,Hot 'N Spicy Wings,0
42,Jalapeno,0
43,Lemon Coffeecake,0
44,Mashed Potato Bowl Bar,0
45,Oatmeal Gluten-Free,0
46,Onion Rings,1
47,Onions,0
48,Oven Roasted Chicken Thigh,0
49,Oven Roasted Herbed Potatoes,0
50,Oven Roasted Turkey,0
51,Peanut Apricot Crunch,0
52,Pesto Chicken Sandwich,0
53,Pumpkin Spice Muffin,0
54,Roasted Corn,0
55,Sauteed Mushrooms,0
56,Sauteed Seasonal Vegetable,0
57,Sliced Olived,0
58,Smoked Ham,0
59,Soyrizo Tofu Scramble,0
60,Spicy Garbanzo Curry,0
61,Steamed Basmati Rice,0
62,Steamed Rice,1
63,Sticky Rice,1
64,Tator Tots,1
65,Teriyaki Glaze Wings,0
66,Thai Red Curry Beef,0
67,UCSC Bakery French Rolls,0
68,Vegan Baked Beans,0
69,Vegan Chocolate Cup Cakes,0
70,Vegan Garlic Mashed Potatoes,0
71,Vegan Malibu Burger,0
72,Vegan Mushroom Gravy,0
73,Vegan Peanut Granola,0
74,Vegan Taquito,0
75,Vegan Tenders,0
76,Vietnamese Pork Banh Mi Sandwich,0
