index,food,pref
0,BAR Boardwalk Burgers,1
1,BAR Yakisoba Noodles,0
2,Black Beans,0
3,Burger Bar #2 Condiments,0
4,Burger Beef,1
5,Cage Free Scrambled Eggs,1
6,Char Siu Sauce,1
7,Char Siu Seitan,1
8,Cheese Enchiladas,1
9,Chicken Nuggets,1
10,Condiments,0
11,Creamy Broccoli Cheddar Soup,0
12,Crispy Bacon,1
13,Grilled Pineapple Rings,0
14,Hard-boiled Cage Free Eggs,0
15,Hash Brown Patty,1
16,Island BBQ Chicken,1
17,Mexican Rice,0
18,N.E.Clam Chowder,0
19,Natural BridgesTofu Scramble,0
20,Oatmeal Gluten-Free,0
21,Oven Roasted Allergen Free Chicken Thigh,0
22,Portabello Tofu Fried Rice,1
23,Roasted Vegetables,0
24,Sauteed Mushrooms,0
25,Sesame Yakisoba Noodles,1
26,Steak Cut Fries,1
27,Steamed Rice,1
28,Steamed Seasonal Vegetables,0
29,Stir Fry Vegetables,0
30,Szechuan Sweet Chili Sauce,1
31,Teriyaki Sauce (Gluten Free),1
32,Texas French Toast,1
33,Vegan Malibu Burger,0
