index,food,pref
0,Atomic Cheese Sauce,0
1,BAR Boardwalk Burgers,1
2,BAR Street Taco,0
3,BBQ Ginger Soy Chicken,1
4,BBQ Tofu Chili Garlic,0
5,BLT Pizza,0
6,Bacon,1
7,Belgian Waffles,0
8,Bell Peppers,0
9,Bread Bun,0
10,Burger Beef,1
11,Burger Turkey,0
12,Cage Free Eggs,0
13,Cage Free Omelette Bar,0
14,Cage Free Scrambled Eggs,1
15,Cheddar Cheese,0
16,Cheese Pizza,1
17,Chicken Ortega Soup,1
18,Chili Soy Slaw,0
19,Chili with Beef,1
20,Condiments,0
21,Egg O'Bagel,0
22,Feta Cheese,0
23,Fresh Organic Spinach,0
24,Fresh Tomato,0
25,Hard-boiled Cage Free Eggs,0
26,Herbed Pork Chop,0
27,Italian Sausage Sandwich,0
28,Jalapeno,0
29,Korean BBQ Beef,1
30,Lemon Bars,0
31,Lemon Poppyseed Muffin,0
32,Mexican Chorizo Sausage,0
33,Muffin Orange Cranberry,0
34,Onion Rings,0
35,Onions,0
36,Oven Roasted Chicken Thigh,0
37,Oven Roasted Herbed Potatoes,0
38,Oven Roasted Turkey,0
39,Peanut Butter Brownie,0
40,Portobella Mushroom Cheese Steak,0
41,Quinoa with Butternut Squash and Kale,0
42,Raspberry Cheese Ring,0
43,Roasted Vegetable Pizza,0
44,Salsa Roja,0
45,Sauteed Mushrooms,0
46,Sauteed Seasonal Vegetable,0
47,Savory Cheese Grits,0
48,Sliced Olived,0
49,Smoked Ham,0
50,Soyrizo Tofu Scramble,0
51,Spicy Gold Potatoes,0
52,Steamed Rice,1
53,Steamed Seasonal Vegetables,0
54,Strawberry Almond Cake,0
55,Sun Dried Tomato Crusted Chicken Breast,0
56,Szechuan Sweet Chili Chicken,1
57,Szechuan Sweet Chili Tofu,1
58,Tahitian Plant Based Wrap,0
59,Texas French Toast,0
60,UCSC Bakery French Rolls,0
61,Vegan Malibu Burger,0
62,Vegan Peanut Granola,0
63,White Bean with Kale Soup,0
