index,food,pref
0,Almond Allspice Coffecake,0
1,Bar Taqueria,0
2,Belgian Waffles,1
3,Bell Peppers,0
4,Boston Cream Cake,1
5,Butternut Squash with Chile Yogurt,0
6,Cage Free Eggs,0
7,Cage Free Omelette Bar,0
8,Cage Free Scrambled Eggs,1
9,Cajun Bayou Bar,0
10,Cajun Rice with Red Beans,0
11,Carrot Raisin Muffin,0
12,Charro Beans,0
13,Cheddar Cheese,0
14,Cheese Pizza,1
15,Cheese Quesadilla,0
16,Cheese Sauce,0
17,Chicken Club Pizza,1
18,Chicken Honey Mustard,0
19,Chicken Korma,0
20,Chipotle BBQ Sauce,1
21,Condiments,0
22,Corn Cobbettes,0
23,Crispy Bacon,1
24,Eggbeaters Scramble,0
25,Feta Cheese,0
26,French Toast Sticks,1
27,Fresh Organic Spinach,0
28,Fresh Tomato,1
29,Green Pozole,0
30,Hard-boiled Cage Free Eggs,0
31,Jalapeno,0
32,Jalapeno Corn Cakes,0
33,Mexican Rice,0
34,Morning Glory Blueberry Granola Nut Muffin,0
35,Nachos Bar,0
36,Natural BridgesTofu Scramble,0
37,Oatmeal Gluten-Free,0
38,Onion Rings,1
39,Onions,0
40,Orange Glazed Pork,1
41,Orange Glazed Vegan Chicken,0
42,Organic Brown Basmati Rice,0
43,Oven Roasted Chicken Thigh,0
44,Oven Roasted Turkey,0
45,"Penne with Sun Dried Tomato, Spinach and Portabella",0
46,Pork Carnitas,0
47,Quinoa Fruit Salad,0
48,Ranch Chicken Sandwich with Bacon,0
49,Refried Beans,0
50,Rice Krispy Treats,0
51,Roasted Yams,0
52,Sausage Andouille,0
53,Sauteed Seasonal Vegetable,0
54,Sliced Olived,0
55,Sloppy Joe Sandwich,0
56,Smoked Ham,1
57,Soyrizo and Potatoes,0
58,Spice Crusted Pork Loin,0
59,Steak Cut Fries,1
60,Steamed Brown Rice,1
61,Steamed Rice,1
62,Sweet & Sour Tofu,1
63,Sweet Potato Fries,0
64,Sweet and Sour Shrimp,1
65,Taqueria Chicken,1
66,Taqueria Ground Beef,1
67,Tator Tots,1
68,Tavern Battered Pollock,0
69,Tofu Baton Rouge Stroller,0
70,Tomato Bisque Soup,0
71,UCSC Bakery French Rolls,0
72,Vegan Chocolate Cup Cakes,0
73,Vegan Peanut Granola,0
