index,food,pref
0,Armenian Salad,0
1,BBQ Beef Brisket,1
2,Baked Potatoes with Toppings,1
3,Beef and Lamb Gyro,1
4,Cage Free Scrambled Eggs,1
5,Cheese Pizza,1
6,Chicken Noodle Soup,1
7,Condiments,0
8,Falafels,0
9,French Fries,1
10,French Waffles,1
11,Grilled Huli Huli Chicken,0
12,Hard-boiled Cage Free Eggs,0
13,Hawaiian Bar,0
14,Natural BridgesTofu Scramble,0
15,Oatmeal Gluten-Free,0
16,Oven Roasted Allergen Free Chicken Thigh,0
17,Peanut Kung Pao Chicken,1
18,Peanut Kung Pao Vegetables,0
19,Pepperoni Pizza,0
20,Potato Mac Salad,0
21,Potatoes O'Brien,0
22,Roasted Corn,0
23,Roasted Seasonal Vegetables,0
24,Sausage Patties,1
25,Spicy Vegan Chicken and Broccoli Stir Fry,0
26,Steamed Rice,1
27,Steamed Seasonal Vegetables,0
28,Sticky Rice,1
29,Tabouleh Salad,0
30,Tahini Sauce,0
31,Turkey Corn Dogs,0
32,Tzatziki Sauce,0
33,Veggie Supreme Pizza,0
